muir;	mare worry, discomposure, mental suffering moor wave sea large billows sea, ocean Lean mi thar na mara thu. - I followed thee over the sea. Tha muir ort an diugh, a Dh mhnaill. - You are in the dolors today, Donald. air muir s air t r - by sea and by land Nach ann air a tha a mhuir an diugh! - How troubled he is today! seas.

zone;	A high performance phase or period. A logical group of network devices on AppleTalk. A belt or girdle. Any given region or area of the world. To girdle or encircle. To enter a daydream state temporarily, for instance as a result of boredom, fatigue, or intoxication. to doze off. Each of the five regions of the earth s surface into which it was divided by climatic differences, namely the torrid zone between the tropics, two temperate zones between the tropics and the polar circles, and two frigid zones within the polar circles. To define the property use classification of an area. To divide into or assign sections or areas. That collection of a domain s DNS resource records, the domain and its subdomains, that are not delegated to another authority. Short for the strike zone. The frustum of a sphere. zone A given area distinguished on the basis of a particular characteristic, use, restriction, etc.. That pitch was low and away, just outside of the zone. I must have zoned while he was giving us the directions. There is a no-smoking zone that extends feet outside of each entrance. This area was zoned for industrial use. Please zone off our staging area, a section for each group. Everyone just put their goddamn heads together and zoned. Byron Coley, liner notes for the album Piece for Jetsun Dolma by Thurston Moore I just got in a zone late in the game, everything was going in. The white zone is for loading and unloading only. To avoid which, we will take any pains. we will dive to the bottom of the sea, to the bowels of the earth, five, six, seven, eight, nine hundred fathom deep, through all five zones, and both extremes of heat and cold. There was the Donna Julia, whom to call Pretty were but to give a feeble notion Of many charms in her as natural As sweetness to the flower, or salt to ocean, Her zone to Venus, or his bow to Cupid But this last simile is trite and stupid. In putting on the zone or belt, worn by both bishops and priests, he Blessed is God, Who girded me with power, and hath made my path blameless... Ps. -. The zone denotes the priest s readiness to serve the Lord and is also a sign that he is bound to Christ. region. sector. zone file. territory. doze off. sphere. sticharion. maniple. zone of employment. zonal. omophorion. area. zone out. epigonation. sakkos. mitre. district. zoning. epimanikion. epitrachelion. zoning law. friend zone. alb. zoner. section. omr de. rhason. belt. time zone. zoned. zones. zoning.

suspend;	To hang freely. underhang To discontinue or interrupt a function, task, position, or event. To halt something temporarily resume.

nomenclature;	A set of names or terms. A set of rules used for forming the names or terms in a particular field of arts or sciences. A name. It is also pertinent to note that the current obvious decline in work on holarctic hepatics most surely reflects a current obsession with cataloging and with nomenclature of the organisms as divorced from their study as living entities. nomenclator. terminology. zoological nomenclature. taxonomy.

invader;	One who invades. an assailant. an encroacher. an intruder. space invader.

basin;	water basin An area of water that drains into a river. basin toilet A bowl for washing, often affixed to a wall. A rock formation scooped out by water erosion. bombasine sedimentary basin. oceanic basin. drainage basin. basin of attraction. sink. catchment basin.

stadion;	stadium venue where sporting events are held stadion stadium, arena stadium A Greek unit of measurement, equivalent to six plethra or six hundred podes, which, though varying in precise length, is generally accepted to be equivalent to approximately metres. The winner of the Stadion race could justifiably be called the fastest man in the Greek world. According to legend, Herakles, whose feet were meters inches long, stepped-off the Stadion at Olympia. Since he chose a distance of feet, this made the race at Olympia meters. Herakles staged a race for his brothers, the Kouretes, and crowned the victor with a branch of wild olive. Although the Greek Stadion race was always feet, other Greek gods had feet of different lengths. This caused the length of the Stadion race to vary slightly from stadium to stadium. This list of Olympic victors compiled by Hippias in about B.C. lists the Stadion race as the only event in the first Olympic games. Coreobus of Elis, a cook, was the victor in the Stadion race in B.C. and thus the first recorded Olympic victor. The stadion was used specifically for human athletic contests whereas the Greek hippodrome and later the Roman circus were used for equestrian events. The gymnasion and the palaistra were used for training purposes for human athletic events. Stadion Race meters The stadion did not suffice for the races of horses and chariots which had been favorites with the Greeks since the Trojan war. units of measure.

cabo;	police sergeant handle accessories, knick-knacks cape, headland corporal cape end, edge, extremity cable, rope whore end, finish, conclusion end, final part stub, butt, stump mango. extremo. fin. cabo de. indonesian vulgarities.

